scientific_run_id,scenario,configuration,repetition,random_seed,total_intended_targets,pcpe_d,pcf_d,pcpe_m,pcf_m,pcpe_e,pcf_e,pcpe_e_lower,pcpe_e_upper,pcf_e_lower,pcf_e_upper,tE_status
RECON_20260908_PI_MAIN_S4_C3_R02,S4,C3,2,7137591416795289606,10,5,0.5,5,0.5,5,0.5,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S1_C2_R04,S1,C2,4,5798949736423142048,10,5,0.5,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S3P1_C2_R03,S3P1,C2,3,1043188644327682241,10,5,0.5,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S5_C3_R04,S5,C3,4,7677540127732578839,10,5,0.5,5,0.5,5,0.5,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S6B_C3_R03,S6B,C3,3,8997384043255522875,6,5,0.8333333333333334,5,0.8333333333333334,5,0.8333333333333334,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S4_C3_R04,S4,C3,4,2244168523270381401,10,5,0.5,5,0.5,5,0.5,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S3P3_C1_R01,S3P3,C1,1,344322987200046027,10,,,,,,,,,,,NO_MITIGATION
RECON_20260908_PI_MAIN_S3P3_C4_R01,S3P3,C4,1,344322987200046027,10,6,0.6,6,0.6,,,6,7,0.6,0.7,INTERVAL_CENSORED_NFT
RECON_20260908_PI_MAIN_S3P3_C3_R01,S3P3,C3,1,344322987200046027,10,6,0.6,6,0.6,6,0.6,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S4_C2_R03,S4,C2,3,6294456640517241219,10,5,0.5,,,,,,,,,ALERT_ONLY
